suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
spatial,scene_0030,both,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0396,,,,,plane,,,48,87.3
spatial,scene_0030,both,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0289,,,,,plane,,,48,85.2
spatial,scene_0031,both,text_only,pi05,tokens,0,False,,240,True,True,99,True,True,True,akita_black_bowl_1,True,plate_2,True,0.0034,,,,,plane,,,48,85.4
spatial,scene_0031,both,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_4,False,plate_2,True,0.0054,,,,,plane,,,48,84.5
spatial,scene_0031,both,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_4,False,plate_2,True,0.0077,,,,,plane,,,48,84.7
object,scene_0000,control,text_only,pi05,tokens,0,False,,300,True,True,152,True,True,True,milk_1,True,basket_1,True,0.005,,,,,plane,,,60,84.2
object,scene_0000,control,text_only,pi05,tokens,1,False,,300,True,True,185,True,True,True,milk_1,True,basket_1,True,0.0175,,,,,plane,,,60,83.9
object,scene_0000,control,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,milk_1,True,basket_1,True,0.0352,,,,,plane,,,60,84.0
object,scene_0001,control,text_only,pi05,tokens,0,False,,300,True,True,143,True,True,True,alphabet_soup_1,True,basket_1,True,0.0242,,,,,plane,,,60,84.3
object,scene_0001,control,text_only,pi05,tokens,1,False,,300,True,True,142,True,True,True,alphabet_soup_1,True,basket_1,True,0.0263,,,,,plane,,,60,85.9
object,scene_0001,control,text_only,pi05,tokens,2,False,,300,True,True,145,True,True,True,alphabet_soup_1,True,basket_1,True,0.041,,,,,plane,,,60,85.2
object,scene_0005,referential,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,bbq_sauce_1,True,basket_1,True,0.0317,,,,,plane,,,60,84.7
object,scene_0005,referential,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,bbq_sauce_1,True,basket_1,True,0.0614,,,,,plane,,,60,85.1
object,scene_0005,referential,text_only,pi05,tokens,2,False,,300,True,True,251,True,True,True,bbq_sauce_1,True,basket_1,True,0.0086,,,,,plane,,,60,85.4
object,scene_0007,referential,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,orange_juice_1,False,basket_1,True,0.0355,,,,,plane,,,60,85.5
object,scene_0007,referential,text_only,pi05,tokens,1,False,,300,True,True,237,True,True,True,chocolate_pudding_2,True,basket_1,True,0.021,,,,,plane,,,60,85.0
object,scene_0007,referential,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,orange_juice_1,False,basket_1,True,0.0292,,,,,plane,,,60,84.9
object,scene_0011,referential,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,butter_2,False,basket_1,True,0.0363,,,,,plane,,,60,84.6
object,scene_0011,referential,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,butter_2,False,basket_1,True,0.0189,,,,,plane,,,60,84.4
object,scene_0011,referential,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,butter_2,False,basket_1,True,0.0384,,,,,plane,,,60,83.9
object,scene_0013,referential,text_only,pi05,tokens,0,False,,300,True,True,156,True,True,True,tomato_sauce_2,True,basket_1,True,0.029,,,,,plane,,,60,84.6
object,scene_0013,referential,text_only,pi05,tokens,1,False,,300,True,True,168,True,True,True,tomato_sauce_2,True,basket_1,True,0.0197,,,,,plane,,,60,84.1
object,scene_0013,referential,text_only,pi05,tokens,2,False,,300,True,True,171,True,True,True,tomato_sauce_2,True,basket_1,True,0.0145,,,,,plane,,,60,84.9
object,scene_0023,directional,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,orange_juice_1,True,basket_2,False,0.0137,,,,,plane,,,60,85.7
object,scene_0023,directional,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,orange_juice_1,True,,False,0.1198,,,,,plane,,,60,86.0
object,scene_0023,directional,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,orange_juice_1,True,basket_2,False,0.0287,,,,,plane,,,60,85.3
