suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,97c288a59c274363,3ea7d1f6488bfb47,,,
spatial,scene_0000,control,auto,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0239,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,2c9151149555ae37,ceeb06c46fb16059,,,
spatial,scene_0000,control,auto,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0244,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,c45e153747a151fb,bff79f26cc2d1ae0,,,
spatial,scene_0000,control,auto,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.024,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,0d887455f71f564a,eeba677009bb94f7,,,
spatial,scene_0000,control,auto,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0243,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,87c429240bea8f6e,a39a17cea8f03814,,,
spatial,scene_0000,control,auto,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0239,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,47d6cb244a88c3a2,846552d5a442b83f,,,
spatial,scene_0000,control,auto,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,81fe68c8647cc183,d7fa39190b625729,,,
spatial,scene_0000,control,auto,oracle,tokens,7,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0238,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,003de3ac07274b85,6d235482fd2d0528,,,
spatial,scene_0000,control,auto,oracle,tokens,8,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.024,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,e1a4620f28f0b4a6,4d1993a35b5de069,,,
spatial,scene_0000,control,auto,oracle,tokens,9,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0238,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,c8baad67892f573c,64c55242a50878f9,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0136,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,88f9cb18620102a1,92339f906c509061,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0133,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,fa7650baa69b72a8,46ff7448dae433c9,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0134,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,b795a7260d2af131,f600556bb3d99089,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0141,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,ff5cd5ce6e41afb8,e5d96f75cad594eb,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,c9bc07f679c7ad0c,0a4e650d97ec652e,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,31c843a17a66c1b4,a73428cbd0cea741,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0134,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,d03daff408288cc4,a0e7b44d48aadd2b,,,
