[robosuite WARNING] No private macro file found! (macros.py:53)
WARNING:robosuite_logs:No private macro file found!
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
WARNING:robosuite_logs:It is recommended to use a private macro file
[robosuite WARNING] To setup, run: python /workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
WARNING:robosuite_logs:To setup, run: python /workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/robosuite/scripts/setup_macros.py
/workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/numba/np/arraymath.py:3845: DeprecationWarning: `np.MachAr` is deprecated (NumPy 1.22).
  @overload(np.MachAr)
real/t4/demo_8 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4360
real/t4/demo_9 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.5704
real/t4/demo_10 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.3333
real/t4/demo_11 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.6857
real/t4/demo_13 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.3442
real/t4/demo_14 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.3356
real/t4/demo_15 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.4518
real/t4/demo_16 success=True referent=True grasped=akita_black_bowl_1 frame_err=0.7116
real/t4/demo_18 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.5520
real/t4/demo_19 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8731
real/t4/demo_20 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.0814
real/t4/demo_21 success=True referent=True grasped=akita_black_bowl_1 frame_err=0.8015
real/t4/demo_22 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.0963
